0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
-1.2947148258224404e-11,-9.62259496778417e-12,-1.2487949840267465e-11,-1.2917497821451905e-11,-1.2491580543116941e-11,-4.443400990983281e-12,-3.2916546446881687e-12,2.7036143760983397e-12,-1.5004224510062333e-12,-4.3484974925900305e-12,-9.451672718985281e-12,-4.01330913196718e-12,3.407259380194829e-14,3.2422328272718734e-12,9.373379674382231e-12,1.4279685222884363e-11,1.1404606942544415e-11,2.139234942244439e-12,-6.400043107146479e-13,3.5065524512378762e-12,8.978322460773125e-12,1.2387984446415867e-11,1.883205545122335e-11,1.2769160951886515e-11,2.0015129797268383e-11,1.0141769911153896e-11,2.1288315059375672e-11,1.8159413178675532e-11,2.2362948533138914e-11,9.512288619173414e-12,2.472295312638817e-12,-3.487911550525968e-12,-1.3115018242804143e-11,-1.857896318729901e-11,-9.854444266654826e-12,-1.1774935097907945e-11,-1.1702130047031022e-11,-1.2807413492244012e-11,-1.2630635007060409e-11,-1.1641600446143929e-11,-1.1161174421847609e-11,-8.507756371234354e-12,-5.470670709162295e-12,-5.1277666502369535e-12,-8.169590779705249e-12,-1.0642636022073492e-11,-1.0550610619664003e-11,-6.3508101051934496e-12,-6.891499248429245e-12,-5.261476468565451e-12,-3.458310681214716e-12,5.990465352101461e-13,2.8330025029776882e-12,2.089121556803075e-12,-1.393034659902259e-12,-2.9200951361940673e-12,4.2083192947073313e-13,3.0798980274471253e-12,8.22749274770329e-12,8.031595774393718e-12,7.298614440098827e-12,1.520414838845907e-11,9.208276372685286e-12,1.905912535543619e-11
1.9659925018622458e-11,1.8429122209617786e-11,1.49633671382432e-11,1.184984026547653e-11,1.5588706591351808e-11,1.1483408488111024e-11,1.4907342264613986e-11,9.397902576147033e-12,8.2299604029501e-12,7.172460899873556e-12,5.798091168962571e-12,3.075601315849497e-12,3.1835767542176544e-12,3.072585886165769e-12,1.8523896043731728e-12,-2.4861297704958924e-12,-1.7444344537764771e-12,-1.2990232933773876e-12,-1.482732241875339e-12,-4.707546705340348e-12,-7.904484701448665e-12,-6.675863770233547e-12,-7.364547255583885e-12,-1.2776515032619783e-11,-1.496284297974881e-11,-1.0068332668033973e-11,-1.5851903154562306e-11,-1.520853296899105e-11,-1.522267106413011e-11,-1.1166306504328815e-11,-5.262185223564585e-12,-1.307341418232965e-12,2.0546580489444464e-11,1.7577567777316004e-11,8.974666488192895e-12,1.0083056767307141e-11,1.518913009856959e-11,1.0658185746414972e-11,8.004224727464759e-12,5.587469931178646e-12,5.219290104996333e-12,3.9982102491009645e-12,-3.4378143443092264e-13,-3.5931242070574804e-13,1.8679365068052793e-12,3.852687458838489e-12,6.263189479049913e-12,1.4553798193261974e-12,-4.982259413921492e-13,-1.407889468119094e-12,-3.345017685951745e-12,-4.973292871746082e-12,-9.421616451454894e-12,-7.571066672262815e-12,-5.1412829096264535e-12,-3.223300010013474e-12,-6.453028018604811e-12,-8.914984246821687e-12,-1.3742075535283504e-11,-1.4959687942628362e-11,-1.3331183109421828e-11,-1.3522700865742364e-11,-1.0424989196344824e-11,-1.4817028241687066e-11
1.0156560907859103e-11,1.0427432076909328e-11,1.1590161026475699e-11,9.934554160651033e-12,1.2970784897703426e-11,1.5461367926405956e-11,2.004650542986042e-11,1.462727852086232e-11,1.3924781175234104e-11,1.2208315471440303e-11,6.652919015692761e-12,4.811197701570792e-12,9.293215786243537e-12,1.242709442195178e-11,1.0783836675187787e-11,5.04283736191269e-12,4.587292384172771e-12,5.470918328143172e-12,1.2702653897633822e-12,-2.7632374290931223e-12,-3.6195662538318612e-12,1.6341883259940473e-12,1.4480165795305324e-12,-1.093047029243621e-11,-1.9271398592479715e-12,-5.328129812909308e-12,-6.3143058319781154e-12,-8.935713761815121e-12,-1.0545289281793654e-11,-8.625225003555668e-12,-3.799976806106996e-12,-2.9568538444379997e-12,6.5537809099680556e-12,1.94506180051235e-12,-3.124704729629e-12,3.7788725570919734e-12,5.676666493314998e-12,3.6162824166297026e-12,1.1556853145577875e-12,-1.5664247108304593e-12,-2.69072273439974e-12,-4.290325417599659e-12,-4.869897733073002e-12,-4.813496328637255e-12,-2.6992517483392916e-12,7.746853647461208e-13,4.305283088257285e-12,1.1928593188770278e-12,-2.1162181234046765e-12,-3.699850307015139e-12,-5.838036198468897e-12,-6.168402872930299e-12,-8.560568115711928e-12,-8.278330081878946e-12,-6.8966057220620746e-12,-3.1008536858223563e-12,-6.796921464768955e-12,-7.292144967863121e-12,-1.2673659679052204e-11,-1.286937384392672e-11,-1.2902540387216274e-11,-1.3801776898247905e-11,-1.0015634128279768e-11,-1.295705277115644e-11
1.7512705858813147e-11,9.931208047042617e-12,1.3006265112913696e-11,1.0732784835987276e-11,6.7570551669504655e-12,4.5241961910136333e-13,1.1637724588453581e-12,-5.472737734102395e-12,-6.449478200387659e-12,6.894453354888701e-13,5.274002183419669e-12,-1.6841521750521333e-12,-4.713942211687083e-12,-8.737308484718652e-12,-1.0063178046415542e-11,-1.15902251076605e-11,-9.702430610936118e-12,-7.971855915833713e-12,-5.9869037380977365e-12,-9.026035763248783e-12,-1.1460663949414138e-11,-1.0847907355504558e-11,-1.1509760292405244e-11,-1.2910654981546086e-11,-1.5419535224658887e-11,-1.1104620420532284e-11,-1.57921788508375e-11,-1.3962324623584264e-11,-1.4477537001233996e-11,-1.131132219089892e-11,-7.763383359282727e-12,-4.02842695113037e-12,1.8379750804875526e-11,2.064846714855406e-11,2.1347542975114206e-11,1.6892472308960293e-11,1.4601981752626614e-11,1.1535265662665496e-11,1.2667621127171458e-11,1.3968241296957729e-11,1.4859888074703063e-11,1.6321351473003174e-11,1.021147702484626e-11,8.692894630790705e-12,9.342913222631922e-12,1.1259987082290479e-11,7.732240852043049e-12,7.783435540531518e-13,4.334654227555745e-12,5.922562855253944e-12,6.674572637699328e-12,-8.524095500561652e-13,-3.71460284842584e-12,-5.637793032420286e-13,1.1256976000240118e-12,4.269971389803121e-13,-5.15518902322043e-12,-3.005269967992774e-12,-8.417246385228337e-12,-8.606702317059953e-12,-8.143240187941101e-12,-1.1043540575350617e-11,-8.697660882184265e-12,-1.305837783949215e-11
1.9195869847443703e-11,1.3827461864401868e-11,1.1893294961318189e-11,4.345182426312987e-12,5.259385127409643e-12,-3.9372738225296223e-13,1.940389531718267e-12,-1.169064851147539e-12,-6.651094031084884e-13,1.751858555998353e-12,4.6662831687527265e-12,8.197638772244882e-13,-6.235625482631239e-13,-3.054615851816323e-12,-6.4276654461181694e-12,-1.022877940837219e-11,-5.913413949620861e-12,-2.516189304024863e-12,-1.58654952198134e-12,-3.5629115222590715e-12,-9.411625703670268e-12,-1.0008399747185592e-11,-1.3302437671391943e-11,-1.8895601804125306e-11,-1.701855389679707e-11,-8.572824206076746e-12,-1.1243798232918323e-11,-1.531937586829457e-11,-7.883914711293016e-12,-4.247276499391717e-12,-1.8782973461028975e-12,5.728989913578171e-13,1.712806634035502e-11,1.8409991846546344e-11,1.841569801630527e-11,1.3660216702682246e-11,1.1174250269085916e-11,7.459926202990628e-12,8.910373346715515e-12,1.0083485997292029e-11,1.2009035438076408e-11,1.2874287770081593e-11,5.366994721534012e-12,4.795371389754165e-12,6.153715824019911e-12,8.082939623399453e-12,5.200718626419131e-12,3.531247423360639e-12,4.670001637840925e-12,3.4533082748922078e-12,6.10810766410452e-13,-3.5037577594820848e-12,-6.998335172703207e-12,-5.114611119516611e-12,-1.1837120359459166e-12,2.1252277315753073e-12,-1.5764327576661687e-12,-2.6242279522747936e-12,-1.1475316475717534e-11,-1.1988262392570449e-11,-1.2463569780685191e-11,-1.3380514153560342e-11,-4.9316694434864424e-12,-9.223952381454126e-12
2.073309777816945e-11,1.647934558324238e-11,8.037902341051505e-12,3.6544496078150245e-12,-4.933123739725431e-12,-1.0193867074903554e-12,1.0206308269644634e-12,-5.120720209639273e-12,-5.168230393870487e-12,-3.3124069096501785e-12,-9.067191859557513e-13,-6.6149572495177714e-12,-5.466313189650407e-12,-7.144633776157149e-12,-7.423151067165179e-12,-1.076858544646342e-11,-8.282352530919469e-12,-1.0030814258321642e-11,-6.016018608612228e-12,-7.4796416020817e-12,-6.805107125806842e-12,-1.0406742069868357e-11,-1.636092193901817e-11,-1.5215258748035865e-11,-6.7484069523615625e-12,-7.071621360488222e-12,-1.0003981436135235e-11,-1.6141549997961134e-11,-1.0423036576945322e-11,-1.1102607380131246e-11,-9.101518947396414e-12,-5.6391717526693695e-12,2.2800250087051664e-11,2.389552181458754e-11,2.702153695910425e-11,1.6806887367160074e-11,1.2870314173518692e-11,6.2970885545965414e-12,9.842105179735937e-12,1.1427649121209526e-11,1.6701817082243053e-11,1.9647643136444516e-11,9.812483846793895e-12,8.631700517902629e-12,7.354606247567119e-12,4.46669818021661e-12,1.5560625232779985e-13,-2.488803978017984e-12,-1.8219804243102568e-13,2.3753785507452105e-12,3.4600096450176918e-12,2.39366121324025e-12,-5.408747147939154e-13,-1.820878372527093e-13,-1.7361327655507356e-12,-3.419131565429723e-12,-5.888257795128027e-12,-4.143193030436975e-12,-1.4035403301804196e-12,-1.7454630443225486e-12,-1.8111884747540331e-12,-1.5885772546297975e-12,-7.552056934478913e-12,-8.497899137260845e-12
-1.3231731061047469e-11,-1.5846759340298888e-11,-1.181072380607162e-11,-8.006146487993249e-12,-1.525844177852065e-11,-1.5254832903544014e-11,-1.719893603624456e-11,-1.6596494021747785e-11,-1.5204762491727308e-11,-1.146890295533609e-11,-4.2238440594033474e-12,-4.688545829800717e-12,-9.700812513280254e-12,-1.4240574416568563e-11,-1.4830180732339214e-11,-1.3577731039937645e-11,-1.1264818710721157e-11,-7.72974831964035e-12,-1.5693393899951498e-12,1.7019409304097623e-12,9.327153795979372e-13,-5.2346769345845695e-12,-1.2764229865958043e-11,4.318828521476805e-13,3.604295073067476e-12,3.313396148563186e-12,7.309062623583884e-12,1.0619465540706585e-11,1.6619382079419154e-11,1.1665338063515662e-11,5.757181354759666e-12,2.199424300464159e-12,-9.9484570066366e-12,-4.740016408710801e-12,1.8092957523307974e-12,-6.914854404627133e-13,-7.578464335189494e-12,-4.984976983202216e-12,-1.5818106087195357e-12,8.016133099530977e-13,3.9644108644765196e-12,3.197480594074875e-12,5.575532070700717e-12,5.268844545547324e-12,3.737726358643556e-12,1.3607809412619079e-12,-2.7403292799377253e-12,5.75398899194113e-13,3.988272367472234e-12,5.5950393678116934e-12,9.283511501756436e-12,9.030632866391385e-12,1.2703169743666365e-11,1.1625237532619792e-11,8.280557124429322e-12,5.221312988190618e-12,9.210439059437192e-12,1.0156697356045185e-11,1.611959473191149e-11,1.645929100302368e-11,1.6620402532474542e-11,1.8255917750842342e-11,1.2646722864495529e-11,1.632580628463387e-11
-1.369043888255206e-11,-5.128585363056714e-12,-8.887632012122283e-12,-5.9030419294892055e-12,-5.056963261473872e-13,4.557138944871752e-12,3.5696682600949706e-12,6.210454793542652e-12,3.109244980148417e-12,3.4191819024975695e-12,7.897988409943929e-13,4.72851776001093e-12,6.1395915138540144e-12,9.480959542340626e-12,1.1473246794846402e-11,1.564588843327996e-11,1.2902334910247502e-11,7.760623938590781e-12,3.08387917291597e-12,5.572128665587428e-12,1.1302802940260646e-11,1.2163978917012484e-11,2.0807634663722038e-11,2.0085315790563384e-11,1.7903468923829988e-11,9.503940654465025e-12,1.4302539292909698e-11,2.5861285629868998e-11,1.623061894795441e-11,6.504885058600251e-12,3.95462053282003e-12,7.186589043861596e-13,-1.6399811775702488e-11,-1.799040523176032e-11,-1.9699771419912083e-11,-1.3171684023038921e-11,-1.1079808919678414e-11,-5.111731971485511e-12,-8.035651026805368e-12,-1.0703861099248258e-11,-1.2535297847282578e-11,-1.5234865478053195e-11,-1.2279784405766493e-11,-8.938659212365252e-12,-8.152733917743404e-12,-5.3454684718623466e-12,-1.7549837054708922e-12,1.0354879207419281e-12,-4.320600274443365e-12,-7.568156652926206e-12,-1.1944162670918246e-11,-1.1777774253207696e-11,-9.381062901159254e-12,-8.194600687350119e-12,-6.127109591691493e-12,-3.373393602235098e-12,-1.323641272144021e-13,-2.3928446268861596e-12,-4.336605107457814e-12,-3.739638705813064e-12,-4.666105942963128e-12,7.290061839082539e-12,1.5287284980125542e-12,1.086764519575567e-11
-1.0882901638975539e-11,-5.328681614624741e-12,-1.0608533462796999e-11,-3.4493540588265143e-12,-7.604168691610624e-12,-1.0673122878834811e-12,-1.8307726086241864e-12,1.1322260697888002e-12,1.5938709148066726e-12,-3.864240985418376e-12,-5.905339909073603e-12,-3.3656275681970266e-12,1.925769859134623e-13,2.6804794779344834e-12,4.360667029690291e-12,1.0904993454463607e-11,8.365971647439351e-12,3.077352042968329e-12,4.774079038760709e-13,7.641856522244694e-12,8.948596681879195e-12,1.212400375516509e-11,1.606750275096047e-11,1.3177735221692188e-11,2.389034680527757e-11,1.722868737852323e-11,2.026038064650848e-11,1.904322571499861e-11,2.191050053079735e-11,1.4076237770499488e-11,2.869222138546235e-12,-2.84546003603836e-12,-1.2736369077170906e-11,-1.3146668512487025e-11,-1.2676098682273817e-11,-1.1607544271097225e-11,-1.1415327113351026e-11,-8.559242720362904e-12,-9.541338746199557e-12,-1.1755784631528598e-11,-9.682381365561098e-12,-1.1246737718462185e-11,-1.11955995598656e-11,-9.540142760666725e-12,-9.632657471225769e-12,-9.535266050075819e-12,-7.923816971011633e-12,-6.914147794301328e-12,-8.337732557262001e-12,-9.496439721257132e-12,-1.0552447653022768e-11,-5.964574844252723e-12,-1.5397385104698451e-12,-4.077300123750404e-12,-5.284709364783423e-12,-5.1185328593383865e-12,1.5488243243488858e-12,2.812397819074164e-12,6.601469616729361e-12,7.037557319566901e-12,6.0039793461363905e-12,1.1427479970738118e-11,1.2380742286044465e-11,1.639669981523539e-11
7.574746140791288e-12,5.38611535307737e-12,1.8314671790461985e-12,3.94040121978051e-12,2.3247698293302205e-12,-3.014758968446218e-12,-3.022461706449208e-12,-4.43836419503768e-12,-3.014685299375374e-12,-3.0812484881140293e-12,1.983123374203755e-12,-4.122065584623302e-12,-4.366375415655598e-12,-4.50879773847973e-12,-7.518641305749583e-12,-1.0557617352559277e-11,-8.130111419403507e-12,-7.311872687522369e-12,-5.9764643453932836e-12,-6.4954329361613374e-12,-6.376372348994296e-12,-1.1323601975844754e-11,-1.1639454024360562e-11,-1.568078918421506e-11,-1.5988580381189053e-11,-1.2114349411375402e-11,-1.638860889283805e-11,-1.0654294820368336e-11,-7.771750498021534e-12,-5.612315854476578e-12,-6.941057600441668e-12,-1.944862143089809e-12,7.854563554475503e-12,1.2552530242147808e-11,1.4691184295999304e-11,5.547273721505375e-12,4.664759634807891e-12,2.55376081372688e-12,3.6458636343481014e-12,4.21027012566938e-12,1.2492003369744819e-11,1.1587527259736274e-11,9.17290613802052e-12,6.79660202809046e-12,5.548834414413617e-12,2.7253433556792554e-12,2.0184956695187833e-12,-1.1142304090286376e-12,2.4775694867015813e-12,3.880849325697822e-12,6.921062740049277e-12,1.0286795222101685e-11,8.454184316407377e-12,6.93583293400607e-12,2.9346258172621713e-12,-6.346547622784742e-13,-3.849034181657131e-15,2.7696020963516313e-12,7.451087603159434e-12,6.60213796368353e-12,6.424929287505987e-12,3.8828024655698795e-12,3.018612423376366e-12,-1.394964252311725e-12
